frame_index,timestamp_sec,detected,arousal,valence,intensity,emotion_label
1324,44.17746666666667,True,0.306,0.15,0.341,Moderately excited
1328,44.31093333333333,True,0.292,0.128,0.319,Slightly excited
1332,44.4444,True,0.238,0.134,0.273,Slightly delighted
1336,44.577866666666665,True,0.218,0.285,0.359,Moderately delighted
1340,44.711333333333336,True,0.362,0.006,0.362,Moderately astonished
1344,44.8448,True,0.185,0.227,0.293,Slightly delighted
1348,44.97826666666667,True,0.387,0.185,0.429,Moderately excited
1352,45.11173333333333,True,0.202,-0.012,0.202,Slightly aroused
1356,45.245200000000004,True,0.201,0.124,0.236,Slightly delighted
1360,45.37866666666667,True,0.257,0.276,0.377,Moderately delighted
1364,45.51213333333333,True,0.176,0.075,0.191,Slightly excited
1368,45.6456,True,0.045,0.042,0.062, Neutral
1372,45.779066666666665,True,0.197,0.16,0.254,Slightly delighted
1376,45.912533333333336,True,0.064,0.131,0.146,Slightly happy
1380,46.046,True,0.091,0.213,0.232,Slightly happy
1384,46.17946666666667,True,0.079,0.197,0.212,Slightly happy
1388,46.31293333333333,True,0.051,0.047,0.069, Neutral
1392,46.446400000000004,True,0.177,0.038,0.181,Slightly excited
1396,46.57986666666667,True,0.168,-0.062,0.179,Slightly tensed
1400,46.71333333333333,True,0.124,-0.025,0.126,Slightly aroused
1404,46.8468,True,0.512,-0.123,0.527,Moderately aroused
1408,46.980266666666665,True,0.232,0.091,0.249,Slightly excited
1412,47.113733333333336,True,0.292,-0.117,0.315,Slightly tensed
1416,47.2472,True,0.44,-0.259,0.511,Moderately alarmed
1420,47.38066666666667,True,0.129,0.05,0.138,Slightly excited
1424,47.514133333333334,True,0.335,0.177,0.379,Moderately delighted
1428,47.647600000000004,True,0.233,0.135,0.269,Slightly delighted
1432,47.78106666666667,True,0.17,0.23,0.286,Slightly delighted
1436,47.91453333333333,True,0.357,0.24,0.43,Moderately delighted
1440,48.048,True,0.479,0.379,0.611,Very delighted
1444,48.181466666666665,True,0.401,-0.104,0.414,Moderately tensed
1448,48.314933333333336,True,0.369,-0.41,0.552,Very annoyed
1452,48.4484,True,0.489,0.076,0.495,Moderately astonished
1456,48.58186666666667,True,0.299,0.22,0.371,Moderately delighted
1460,48.715333333333334,True,0.277,0.111,0.298,Slightly excited
1464,48.848800000000004,True,0.363,0.139,0.389,Moderately excited
1468,48.98226666666667,True,0.225,0.09,0.242,Slightly excited
1472,49.11573333333333,True,0.354,0.002,0.354,Moderately astonished
1476,49.2492,True,0.541,0.01,0.541,Moderately astonished
1480,49.382666666666665,True,0.253,-0.018,0.254,Slightly aroused
1484,49.516133333333336,True,0.093,0.097,0.134,Slightly delighted
1488,49.6496,True,0.162,-0.181,0.243,Slightly annoyed
1492,49.78306666666667,True,0.203,0.099,0.226,Slightly excited
1496,49.916533333333334,True,0.405,0.345,0.532,Moderately delighted
1500,50.050000000000004,True,0.439,0.263,0.512,Moderately delighted
1504,50.18346666666667,True,0.289,0.089,0.302,Slightly excited
1508,50.31693333333333,True,0.157,0.086,0.179,Slightly delighted
1512,50.4504,True,0.299,0.033,0.301,Slightly astonished
